fetched_at,last_updated,last_reported,station_id,bikes_available,docks_available,ebikes_available,is_renting,is_returning,is_installed
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3005,22,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3006,14,15,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3007,10,12,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3008,6,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3010,6,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3011,0,16,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3014,26,1,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3016,9,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3018,5,13,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3019,13,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3020,6,9,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3022,12,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3024,9,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3025,9,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3026,4,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3027,7,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3030,4,25,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3032,12,15,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3033,6,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3034,15,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3035,8,14,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3036,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3037,10,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3040,1,2,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3042,9,19,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3045,6,3,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3046,7,10,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3047,11,14,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3048,5,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3052,5,14,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3054,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3056,3,12,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3058,7,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3062,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3063,10,12,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3064,8,9,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3065,6,9,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3066,11,4,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3068,8,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3069,9,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3074,8,14,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3075,3,10,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3076,6,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3077,11,2,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3078,11,4,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3079,8,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3081,6,6,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_3082,15,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4202,9,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4204,7,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4205,1,15,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4206,10,13,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4207,3,15,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4208,7,10,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4209,7,16,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4210,3,12,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4211,4,10,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4212,10,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4213,3,12,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4214,3,22,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4215,18,22,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4216,8,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4217,1,10,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4220,0,15,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4227,8,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4245,13,1,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4246,3,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4247,1,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4248,5,14,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4249,10,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4250,4,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4254,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4255,3,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4266,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4267,6,3,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4273,8,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4275,7,8,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4293,5,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4300,6,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4301,7,3,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4303,3,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4304,9,2,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4306,8,5,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4311,10,3,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4312,6,7,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4313,10,2,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4314,4,11,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4315,4,4,,1,1,1
2026-09-18T01:09:13.361082+00:00,2026-09-18T01:09:04+00:00,2026-09-18T01:09:04+00:00,bcycle_lametro_4387,11,5,,1,1,1
