fetched_at,last_updated,last_reported,station_id,bikes_available,docks_available,ebikes_available,is_renting,is_returning,is_installed
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3005,11,19,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3006,3,26,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3007,7,10,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3008,5,7,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3010,6,8,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3011,6,10,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3014,13,15,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3016,2,13,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3018,13,5,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3019,7,12,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3020,3,12,,1,1,1
2026-09-07T01:00:30.690976+00:00,2026-09-07T01:00:13+00:00,2026-09-07T01:00:13+00:00,bcycle_lametro_3022,13,6,,1,1,1
