fetched_at,last_updated,last_reported,station_id,bikes_available,docks_available,ebikes_available,is_renting,is_returning,is_installed
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3005,3,27,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3006,7,22,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3007,6,16,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3008,4,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3010,6,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3011,9,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3014,20,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3016,6,9,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3018,11,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3019,9,10,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3020,2,13,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3022,6,14,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3024,4,11,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3025,5,9,,0,0,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3026,8,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3027,9,6,,0,0,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3030,0,28,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3032,19,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3033,9,3,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3034,14,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3035,8,15,,0,0,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3036,4,11,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3037,13,5,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3040,2,1,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3042,11,17,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3045,6,4,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3046,10,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3047,18,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3048,7,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3052,8,7,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3054,7,8,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3056,2,10,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3058,6,9,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3062,9,6,,1,1,1
2026-09-11T00:58:40.823272+00:00,2026-09-11T00:58:42+00:00,2026-09-11T00:58:42+00:00,bcycle_lametro_3063,5,17,,1,1,1
