fetched_at,last_updated,last_reported,station_id,bikes_available,docks_available,ebikes_available,is_renting,is_returning,is_installed
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3005,11,19,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3006,6,22,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3007,3,14,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3008,6,6,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3010,9,5,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3011,3,13,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3014,28,0,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3016,8,7,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3018,13,5,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3019,7,12,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3020,5,10,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3022,12,8,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3024,4,11,,1,1,1
2026-09-02T01:18:12.189300+00:00,2026-09-02T01:18:13+00:00,2026-09-02T01:18:13+00:00,bcycle_lametro_3025,3,11,,1,1,1
